question,answer
"Em chào các anh chị ạ! Em là 2k4 có nguyện vọng vào khoa Toán Cơ Tin học của trường ạ, em có 1 số câu hỏi và thắc mắc muốn được sự tư vấn và góp ý của anh chị ạ. Em đang quan tâm tới hai ngành là Toán học và Khoa học dữ liệu, em muốn biết là 2 ngành này đã lên CLC chưa ạ","""Hiện tại ngành Toán học và ngành Khoa học dữ liệu tại Trường Đại học Khoa học Tự nhiên, ĐHQGHN chưa có chương trình đào tạo Chất lượng cao (CLC). Cụ thể:
Các Chương trình đào tạo (CTĐT) được ban hành kèm theo các Quyết định ngày 18/10/2023 chỉ mô tả:
Ngành Toán học: CTĐT Chuẩn (Quyết định 3565/QĐ-ĐHKHTN) và CTĐT Tài năng (Quyết định 3566/QĐ-ĐHKHTN).
Ngành Khoa học dữ liệu: CTĐT Chuẩn (Quyết định 3569/QĐ-ĐHKHTN). 
Vì vậy, căn cứ vào hai tài liệu trên, ngành Toán học và Khoa học dữ liệu hiện chỉ có chương trình đào tạo chuẩn (riêng Toán học có thêm chương trình Tài năng), chưa có chương trình Chất lượng cao (CLC)."""
"Em đang quan tâm tới hai ngành là Toán học và Khoa học dữ liệu, và khi ra trường có thể làm những công việc gì ạ ?","""Ngành Toán học: Theo Mục 4, Quyết định 3565/QĐ-ĐHKHTN ngày 18/10/2023 ban hành CTĐT chuẩn ngành Toán học và Mục 4, Quyết định 3566/QĐ-ĐHKHTN ngày 18/10/2023 ban hành CTĐT tài năng ngành Toán học, sinh viên tốt nghiệp có thể làm việc tại các trung tâm, viện nghiên cứu, cơ quan quản lý kinh tế, tài chính, cơ sở sản xuất kinh doanh, ngân hàng, tổ chức bảo hiểm; giảng dạy tại các trường đại học, cao đẳng, trung học phổ thông. Chương trình tài năng nhấn mạnh khả năng làm việc tại các trung tâm nghiên cứu phát triển.
Ngành Khoa học dữ liệu: Theo Mục 4, Quyết định 3569/QĐ-ĐHKHTN ngày 18/10/2023 ban hành CTĐT chuẩn ngành Khoa học dữ liệu, sinh viên tốt nghiệp có thể đảm nhận các vị trí như nhà quản lí dữ liệu, chuyên gia phân tích dữ liệu, chuyên gia dữ liệu lớn, chuyên gia tư vấn tại các doanh nghiệp; Lập trình viên, Quản trị dự án, Trưởng phòng tại các doanh nghiệp, trung tâm công nghệ thông tin; Nghiên cứu viên tại các trung tâm R&D; Giảng viên, nghiên cứu viên, chuyên viên kĩ thuật tại các trường, viện."""
"Em có giải nhất hsg môn toán cấp tỉnh và điểm TB học tập của 5 học kỳ đều trên 8,0 thì có thuộc diện được xét tuyển thẳng của ĐHQGNHN vào 2 ngành Toán học và Khoa học dữ liệu không ạ ?","Không. Theo điểm a, Khoản 2, Điều 8, Quyết định 1328/QĐ-ĐHQGHN ngày 18/04/2023 ban hành Quy chế tuyển sinh đại học chính quy tại ĐHQGHN, thí sinh đoạt giải nhất, nhì, ba trong kỳ thi chọn học sinh giỏi quốc gia, quốc tế hoặc thi khoa học, kỹ thuật cấp quốc gia, quốc tế mới thuộc diện xét tuyển thẳng. Giải nhất cấp tỉnh không đủ điều kiện này. Tuy nhiên, bạn có thể thuộc đối tượng ưu tiên xét tuyển hoặc các phương thức xét tuyển khác theo Đề án tuyển sinh hàng năm của trường."
"Em là 2k4 năm nay định ứng tuyển vào CLC ngành KHMT. Em có một giải ba HSG tin học thành phố. Em sắp thi APCSA và APCSP vào tháng 5 này, không biết hai chứng chỉ này có hỗ trợ gì cho việc tuyển sinh vào trường không ạ?","""Giải thưởng cấp thành phố không được đề cập trong diện Xét tuyển thẳng (theo Điều 8, QĐ 1328 và Mục 1.8.2, Đề án 2024) hay diện Ưu tiên xét tuyển chung (theo Điều 7, QĐ 1328).
Tuy nhiên, Mục 1.8.3.1c, Phần II, Đề án tuyển sinh năm 2024 có xét Ưu tiên xét tuyển cho thí sinh đạt giải Nhất, Nhì, Ba trong kỳ thi học sinh giỏi cấp tỉnh/thành phố trực thuộc trung ương nếu đáp ứng đủ các điều kiện khác (tốt nghiệp THPT, học lực Giỏi, hạnh kiểm Tốt 3 năm THPT, điểm TBCHT >= 8.5, môn đạt giải phù hợp, và đạt ngưỡng điểm sàn THPT). Nếu """"thành phố"""" của bạn là thành phố trực thuộc trung ương (như Hà Nội, TP.HCM...) và bạn đáp ứng đủ các điều kiện còn lại, giải Ba của bạn có thể được xem xét trong diện Ưu tiên xét tuyển này. Nếu là thành phố thuộc tỉnh thì không được xét theo quy định này.
Về chứng chỉ APCSA và APCSP:

Các phương thức xét tuyển của Trường ĐHKHTN được liệt kê tại Mục 1.3, Phần II, Đề án tuyển sinh năm 2024 (bao gồm XTT, ƯTXT, điểm thi THPT, điểm ĐGNL, chứng chỉ quốc tế A-Level/SAT/ACT, kết hợp THPT+IELTS).
Trong các phương thức này và các điều kiện xét tuyển chi tiết tại Mục 1.5 và 1.8, không có bất kỳ đề cập nào đến việc sử dụng hay cộng điểm ưu tiên cho chứng chỉ AP (Advanced Placement) như APCSA hay APCSP.
Quy chế tuyển sinh chung của ĐHQGHN (QĐ 1328) cũng không liệt kê AP trong các phương thức xét tuyển hay đối tượng ưu tiên."""
 Em là 2k4 muốn xét tuyển vào trường bằng điểm ACT/SAT. Anh chị có thể cho em biết điểm xét tuyển vào trường bằng phương thức này được không ạ?,"Theo điểm d, Khoản 1, Điều 6, Quyết định 1328/QĐ-ĐHQGHN ngày 18/04/2023 ban hành Quy chế tuyển sinh đại học chính quy tại ĐHQGHN, điều kiện tối thiểu để đăng ký xét tuyển là SAT đạt 1100/1600 điểm hoặc ACT đạt 22/36 điểm. Quy chế này không quy định mức điểm trúng tuyển (điểm xét tuyển) cụ thể vì điểm trúng tuyển sẽ phụ thuộc vào hồ sơ thí sinh và chỉ tiêu của từng ngành trong năm xét tuyển đó. Bạn cần theo dõi Đề án tuyển sinh hàng năm của trường để biết thông tin điểm trúng tuyển dự kiến hoặc của các năm trước. "
Ad cho em hỏi điểm thi ĐGNL ngày 4/6 em đc 95đ thì có khả năng đỗ vào KHTN HN ko ạ,"Theo điểm c, Khoản 1, Điều 6, Quyết định 1328/QĐ-ĐHQGHN ngày 18/04/2023 ban hành Quy chế tuyển sinh đại học chính quy tại ĐHQGHN, điểm thi Đánh giá năng lực (ĐGNL) của ĐHQGHN tối thiểu để được nộp hồ sơ xét tuyển là 80/150 điểm. Với 95 điểm, bạn đã đủ điều kiện sàn. Tuy nhiên, khả năng trúng tuyển phụ thuộc vào điểm chuẩn cụ thể của ngành bạn đăng ký trong năm đó, mức điểm này không được quy định trong các tài liệu bạn cung cấp và sẽ thay đổi hàng năm.Bạn có thể truy cập trang web https://tuyensinh.hus.vnu.edu.vn/ để xem điểm chuẩn những năm gần đây."
